0,"chandler says:, also i was the point person on my company's transition from the kl-5 to gr-6 system.",
0,"chandler says:, also i was the point person on my company's transition from the kl-5 to gr-6 system. the interviewer says:, you must've had your hands full.",
0,"chandler says:, also i was the point person on my company's transition from the kl-5 to gr-6 system. the interviewer says:, you must've had your hands full. chandler says:, that i did. that i did.",
0,"chandler says:, also i was the point person on my company's transition from the kl-5 to gr-6 system. the interviewer says:, you must've had your hands full. chandler says:, that i did. that i did. the interviewer says:, so let's talk a little bit about your duties.",
1,"the interviewer says:, you must've had your hands full. chandler says:, that i did. that i did. the interviewer says:, so let's talk a little bit about your duties. chandler says:, my duties?  all right.",
0,"chandler says:, that i did. that i did. the interviewer says:, so let's talk a little bit about your duties. chandler says:, my duties?  all right. the interviewer says:, now you'll be heading a whole division, so you'll have a lot of duties.",
0,"the interviewer says:, so let's talk a little bit about your duties. chandler says:, my duties?  all right. the interviewer says:, now you'll be heading a whole division, so you'll have a lot of duties. chandler says:, i see.",
0,"chandler says:, my duties?  all right. the interviewer says:, now you'll be heading a whole division, so you'll have a lot of duties. chandler says:, i see. the interviewer says:, but there'll be perhaps 30 people under you so you can dump a certain amount on them.",
0,"the interviewer says:, now you'll be heading a whole division, so you'll have a lot of duties. chandler says:, i see. the interviewer says:, but there'll be perhaps 30 people under you so you can dump a certain amount on them. chandler says:, good to know.",
0,"chandler says:, i see. the interviewer says:, but there'll be perhaps 30 people under you so you can dump a certain amount on them. chandler says:, good to know. the interviewer says:, we can go into detail",
2,"the interviewer says:, but there'll be perhaps 30 people under you so you can dump a certain amount on them. chandler says:, good to know. the interviewer says:, we can go into detail chandler says:, no don't i beg of you!",
0,"chandler says:, good to know. the interviewer says:, we can go into detail chandler says:, no don't i beg of you! the interviewer says:, all right then, we'll have a definite answer for you on monday, but i think i can say with some confidence, you'll fit in well here.",
1,"the interviewer says:, we can go into detail chandler says:, no don't i beg of you! the interviewer says:, all right then, we'll have a definite answer for you on monday, but i think i can say with some confidence, you'll fit in well here. chandler says:, really?!",
0,"chandler says:, no don't i beg of you! the interviewer says:, all right then, we'll have a definite answer for you on monday, but i think i can say with some confidence, you'll fit in well here. chandler says:, really?! the interviewer says:, absolutely.  you can relax",
1,"joey says:, but then who? the waitress i went out with last month?",
3,"joey says:, but then who? the waitress i went out with last month? rachel says:, you know? forget it!",
1,"joey says:, but then who? the waitress i went out with last month? rachel says:, you know? forget it! joey says:, no-no-no-no, no! who, who were you talking about?",
2,"joey says:, but then who? the waitress i went out with last month? rachel says:, you know? forget it! joey says:, no-no-no-no, no! who, who were you talking about? rachel says:, no, i-i-i-i don't, i actually don't know",
0,"rachel says:, you know? forget it! joey says:, no-no-no-no, no! who, who were you talking about? rachel says:, no, i-i-i-i don't, i actually don't know joey says:, ok!",
0,"joey says:, no-no-no-no, no! who, who were you talking about? rachel says:, no, i-i-i-i don't, i actually don't know joey says:, ok! joey says:, all right, well...",
0,"rachel says:, no, i-i-i-i don't, i actually don't know joey says:, ok! joey says:, all right, well... rachel says:, yeah, sure!",
0,"chandler says:, hey, mon.",
0,"chandler says:, hey, mon. monica says:, hey-hey-hey. you wanna hear something that sucks.",
4,"chandler says:, hey, mon. monica says:, hey-hey-hey. you wanna hear something that sucks. chandler says:, do i ever.",
3,"chandler says:, hey, mon. monica says:, hey-hey-hey. you wanna hear something that sucks. chandler says:, do i ever. monica says:, chris says they're closing down the bar.",
1,"monica says:, hey-hey-hey. you wanna hear something that sucks. chandler says:, do i ever. monica says:, chris says they're closing down the bar. chandler says:, no way!",
0,"chandler says:, do i ever. monica says:, chris says they're closing down the bar. chandler says:, no way! monica says:, yeah, apparently they're turning it into some kinda coffee place.",
5,"monica says:, chris says they're closing down the bar. chandler says:, no way! monica says:, yeah, apparently they're turning it into some kinda coffee place. chandler says:, just coffee! where are we gonna hang out now?",
3,"chandler says:, no way! monica says:, yeah, apparently they're turning it into some kinda coffee place. chandler says:, just coffee! where are we gonna hang out now? monica says:, got me.",
0,"monica says:, yeah, apparently they're turning it into some kinda coffee place. chandler says:, just coffee! where are we gonna hang out now? monica says:, got me. chandler says:, can i get a beer.",
0,"chandler says:, just coffee! where are we gonna hang out now? monica says:, got me. chandler says:, can i get a beer. monica says:, hey, did you pick a roommate?",
4,"monica says:, got me. chandler says:, can i get a beer. monica says:, hey, did you pick a roommate? chandler says:, you betcha!",
0,"chandler says:, can i get a beer. monica says:, hey, did you pick a roommate? chandler says:, you betcha! monica says:, is it the italian guy?",
4,"monica says:, hey, did you pick a roommate? chandler says:, you betcha! monica says:, is it the italian guy? chandler says:, um-mm, yeah right!",
1,"phoebe says:, oh my god, oh my god! poor monica!",
1,"phoebe says:, oh my god, oh my god! poor monica! chandler says:, what, what, what?!",
1,"phoebe says:, oh my god, oh my god! poor monica! chandler says:, what, what, what?! phoebe says:, what?!",
0,"phoebe says:, oh my god, oh my god! poor monica! chandler says:, what, what, what?! phoebe says:, what?! phoebe says:, he was with her when he wrote this poem.",
0,"chandler says:, what, what, what?! phoebe says:, what?! phoebe says:, he was with her when he wrote this poem. phoebe says:, look,  'my vessel so empty with nothing inside.",
0,"phoebe says:, what?! phoebe says:, he was with her when he wrote this poem. phoebe says:, look,  'my vessel so empty with nothing inside. phoebe says:, now that i've touched you, you seem emptier still.'",
1,"phoebe says:, he was with her when he wrote this poem. phoebe says:, look,  'my vessel so empty with nothing inside. phoebe says:, now that i've touched you, you seem emptier still.' phoebe says:, he thinks monica is empty, she is the empty vase!",
3,"phoebe says:, look,  'my vessel so empty with nothing inside. phoebe says:, now that i've touched you, you seem emptier still.' phoebe says:, he thinks monica is empty, she is the empty vase! phoebe says:, oh, totally. oh, god, oh, she seemed so happy too.",
0,"phoebe says:, now that i've touched you, you seem emptier still.' phoebe says:, he thinks monica is empty, she is the empty vase! phoebe says:, oh, totally. oh, god, oh, she seemed so happy too. joey says:, done.",
1,"rachel says:, hey!",
4,"rachel says:, hey! ross says:, hi!",
1,"rachel says:, hey! ross says:, hi! rachel says:, what are you doing here?",
0,"rachel says:, hey! ross says:, hi! rachel says:, what are you doing here? ross says:, ah y'know, this building is on my paper route so i...",
0,"ross says:, hi! rachel says:, what are you doing here? ross says:, ah y'know, this building is on my paper route so i... rachel says:, oh.",
0,"rachel says:, what are you doing here? ross says:, ah y'know, this building is on my paper route so i... rachel says:, oh. ross says:, hi.",
0,"ross says:, ah y'know, this building is on my paper route so i... rachel says:, oh. ross says:, hi. rachel says:, hi.",
0,"rachel says:, oh. ross says:, hi. rachel says:, hi. ross says:, how'd did it go?",
